RAW,CORRECTED
Ashburn,Ashburn
Auburn Gresham-Chatham,Auburn Gresham-Chatham-Greater Grand Crossing
Austin,Austin
Beverly-Mt Greenwood-Morgan Park,Beverly-Mount Greenwood-Morgan Park
Bridgeport-McKinley-Lower West,Bridgeport-McKinley Park-Lower West Side
Chicago Loop,Loop
Downtown Lakefront,
Dunning-Portage-Belmont Cragn,Dunning-Portage Park-Montclare-Belmont Cragin
Edge Water-Uptown,Edgewater-Uptown
Far North West,Edison Park-Forest Glen-Jefferson Park-Norwood Park
Fuller-Grand Blvd-Washington Park,Fuller Park-Grand Boulevard-Washington Park
Hermosa-Logan Square,Hermosa-Logan Square
Humboldt-Garfield Prk E/W,Humboldt Park-East Garfield Park-West Garfield Park
Hyde Park-Kenwood-Woodlawn,Hyde Park-Kenwood-Woodlawn
Irving Park-Avondale-North Ctr,Irving Park-Avondale-North Center
Lawndale N/S,North Lawndale-South Lawndale
Lincoln Park-Lake View,Lincoln Park-Lake View
Midway-Garfield Rdg-Clearing,Garfield Ridge-Clearing
Near North,Near North Side
Near South-Douglas,Near South Side-Douglas-Armour Square-Oakland
New City-Englewood-W Englewood,New City-Englewood-West Englewood
North Park-Albany-Linconl Sq,North Park-Albany Park-Lincoln Square
Riverdale-Hegewisch,Riverdale-Hegewisch-West Pullman
Rogers Park - West Ridge,Rogers Park-West Ridge
South Deering-East Side,South Deering-East Side
South Shore-S Chicago-Avlon,Avalon Park-Calumet Heights-South Shore-South Chicago
South West Side,Archer Heights-Brighton Park-Gage Park-West Elsdon-West Lawn-Chicago Lawn
Washington Hts-Roseland-Pullman,Washington Heights-Roseland-Pullman-Burnside
West Town-Near West,West Town-Near West Side
