Dropoff Community Area,Ride Date,Total Number of Rides,Average Ride Length
44,03/31/2015,9,10.755555555555555
44,03/31/2014,11,5.1454545454545455
44,03/31/2013,9,9.762222222222222
44,02/03/2013,7,3.7857142857142856
44,03/31/2017,7,5.08142857142857
44,03/31/2016,11,5.1000000000000005
44,09/06/2016,9,6.2444444444444445
44,09/06/2015,14,5.6571428571428575
44,09/06/2014,16,9.200000000000001
44,05/19/2014,7,5.154285714285714
44,09/06/2013,12,3.169166666666667
44,10/11/2016,10,10.068999999999999
44,05/19/2015,8,8.725
44,10/11/2015,11,7.6
44,10/11/2014,15,5.2
44,05/19/2013,9,17.28888888888889
44,02/19/2016,12,4.5166666666666675
44,02/19/2015,16,6.4125000000000005
44,08/12/2013,1,4.4
44,02/19/2017,4,5.645
44,02/19/2014,12,5.57
44,02/19/2013,10,11.09
44,05/19/2016,11,5.20909090909091
44,05/19/2017,9,6.567777777777778
44,08/12/2016,5,3.96
44,08/12/2014,7,11.757142857142856
44,08/12/2015,16,5.95625
44,04/25/2013,12,13.916666666666666
44,02/03/2016,10,1.94
44,02/03/2017,14,6.45
44,02/03/2014,13,6.73076923076923
44,04/25/2015,16,8.131250000000001
44,02/03/2015,22,6.104545454545455
44,04/25/2014,16,7.048125
44,04/25/2017,8,8.2125
44,04/25/2016,4,4.85
44,05/03/2017,7,6.928571428571429
44,05/03/2016,7,8.914285714285715
44,05/03/2015,13,7.015384615384614
44,05/03/2014,21,8.357142857142858
44,05/03/2013,7,2.8714285714285714
44,08/28/2014,13,5.261538461538462
44,08/28/2013,6,1.7999999999999998
44,08/28/2016,9,7.48888888888889
44,08/28/2015,15,10.259999999999998
44,10/18/2014,19,9.905263157894737
44,05/12/2017,5,10.840000000000002
44,10/18/2013,14,5.464285714285714
44,10/18/2016,7,7.057142857142856
44,10/18/2015,17,5.135294117647059
44,01/25/2014,7,7.857142857142857
44,01/25/2013,8,4.3125
44,05/12/2013,7,2.842857142857143
44,05/12/2014,11,8.627272727272727
44,05/12/2015,14,6.9121428571428565
44,05/12/2016,7,6.185714285714285
44,01/16/2015,19,10.878947368421054
44,01/16/2016,11,7.181818181818182
44,01/16/2013,9,8.466666666666667
44,01/16/2014,8,7.250000000000001
44,01/25/2017,6,5.983333333333334
44,01/25/2016,12,6.133333333333334
44,01/25/2015,9,7.688888888888887
44,11/05/2013,8,3.57875
44,11/05/2014,18,6.783333333333332
44,11/05/2015,20,8.98
44,11/05/2016,8,7.7375
44,08/19/2013,1,2.1
44,08/19/2014,7,6.928571428571429
44,08/19/2015,15,6.666666666666666
44,08/19/2016,4,5.800000000000001
44,05/28/2014,17,8.687058823529412
44,05/28/2015,12,5.725000000000001
44,05/28/2016,11,8.372727272727273
44,05/28/2017,4,10.8
44,03/06/2013,11,5.690909090909091
44,03/06/2015,28,8.110714285714284
44,03/06/2014,19,6.6000000000000005
44,12/24/2014,10,4.71
44,10/02/2016,10,8.17
44,12/24/2015,18,6.74
44,12/24/2016,6,6.533333333333334
44,02/12/2015,9,6.077777777777779
44,02/12/2014,12,3.783333333333333
44,02/12/2013,5,5.16
44,02/12/2017,4,6.325
44,02/12/2016,19,4.436842105263159
44,11/14/2016,10,6.11
44,01/16/2017,5,6.08
44,11/14/2014,7,11.457142857142857
44,11/14/2015,16,7.7875
44,11/14/2013,10,9.231
44,02/28/2017,5,6.42
44,10/02/2013,8,2.8
44,10/02/2015,18,7.994444444444444
44,10/02/2014,15,4.920000000000001
44,12/24/2013,8,3.30375
44,10/27/2013,13,3.746153846153846
44,10/27/2014,11,6.663636363636362
44,10/27/2015,14,8.85
44,10/27/2016,9,12.066666666666666
44,06/06/2015,12,7.208333333333333
44,06/06/2016,12,4.915833333333333
44,06/06/2013,7,21.814285714285713
44,06/06/2014,17,7.772941176470589
44,07/09/2016,10,6.483
44,07/09/2015,13,8.68
44,06/06/2017,4,3.8625
44,07/09/2017,5,5.000000000000001
44,10/11/2013,13,14.546923076923077
44,10/20/2013,9,3.5999999999999996
44,10/20/2014,10,6.5600000000000005
44,10/20/2015,16,9.518750000000002
44,10/20/2016,15,8.18
44,07/09/2014,9,5.011111111111111
44,07/09/2013,3,42.56666666666666
44,03/06/2017,7,8.6
44,03/06/2016,14,4.585714285714286
44,11/21/2013,7,8.742857142857144
44,11/21/2015,8,16.45
44,11/21/2014,18,8.733333333333334
44,11/21/2016,4,7.6499999999999995
44,03/29/2017,7,9.334285714285715
44,12/15/2015,11,7.863636363636363
44,12/15/2014,11,7.309090909090909
44,12/15/2013,11,9.263636363636364
44,09/22/2013,10,5.853
44,09/22/2014,10,6.69
44,09/22/2015,14,8.754999999999999
44,09/22/2016,6,4.183333333333334
44,05/21/2017,8,6.3
44,05/21/2015,16,5.824999999999999
44,05/21/2016,13,5.875384615384615
44,05/21/2013,6,4.055
44,05/21/2014,11,6.952727272727274
44,09/24/2016,8,9.1125
44,01/07/2014,12,9.766666666666667
44,09/24/2014,10,5.33
44,07/02/2017,8,7.17375
44,09/24/2015,10,3.750000000000001
44,01/07/2013,9,20.41111111111111
44,07/02/2016,11,28.236363636363638
