Pickup Community Area,Ride Date,Total Number of Rides
44,03/31/2015,7
44,03/31/2014,13
44,03/31/2013,4
44,02/03/2013,6
44,03/31/2017,7
44,03/31/2016,5
44,09/06/2016,4
44,09/06/2015,8
44,09/06/2014,6
44,09/06/2013,13
44,05/19/2014,5
44,10/11/2016,7
44,05/19/2015,6
44,10/11/2015,6
44,10/11/2014,10
44,05/19/2013,2
44,02/19/2016,9
44,02/19/2015,15
44,08/12/2013,3
44,02/19/2017,5
44,02/19/2014,7
44,02/19/2013,12
44,05/19/2016,4
44,05/19/2017,6
44,08/12/2016,5
44,08/12/2014,9
44,08/12/2015,15
44,02/03/2016,12
44,04/25/2013,14
44,02/03/2017,3
44,04/25/2015,10
44,02/03/2014,10
44,02/03/2015,19
44,04/25/2014,13
44,04/25/2017,4
44,04/25/2016,3
44,05/03/2017,10
44,05/03/2016,8
44,05/03/2015,7
44,05/03/2014,15
44,05/03/2013,11
44,08/28/2014,9
44,08/28/2013,8
44,08/28/2016,5
44,08/28/2015,12
44,10/18/2014,12
44,05/12/2017,1
44,10/18/2013,11
44,10/18/2016,5
44,10/18/2015,7
44,01/25/2014,7
44,01/25/2013,6
44,05/12/2013,1
44,05/12/2014,10
44,05/12/2015,10
44,05/12/2016,6
44,01/16/2015,10
44,01/16/2016,8
44,01/16/2013,5
44,01/16/2014,9
44,01/25/2017,7
44,01/25/2016,10
44,01/25/2015,7
44,11/05/2013,8
44,11/05/2014,9
44,11/05/2015,13
44,11/05/2016,2
44,08/19/2013,2
44,08/19/2014,7
44,08/19/2015,9
44,08/19/2016,3
44,05/28/2014,11
44,05/28/2015,12
44,05/28/2016,5
44,05/28/2017,3
44,03/06/2013,8
44,03/06/2015,14
44,03/06/2014,12
44,12/24/2014,10
44,12/24/2015,19
44,10/02/2016,5
44,12/24/2016,4
44,02/12/2015,18
44,02/12/2014,7
44,02/12/2013,7
44,02/12/2017,2
44,02/12/2016,13
44,01/16/2017,4
44,11/14/2016,4
44,11/14/2014,13
44,11/14/2015,8
44,11/14/2013,14
44,02/28/2017,3
44,10/02/2013,10
44,10/02/2015,11
44,10/02/2014,13
44,12/24/2013,9
44,10/27/2013,6
44,10/27/2014,10
44,10/27/2015,11
44,10/27/2016,3
44,06/06/2015,4
44,06/06/2016,9
44,06/06/2013,3
44,06/06/2014,16
44,07/09/2016,6
44,07/09/2015,12
44,06/06/2017,3
44,07/09/2017,5
44,10/11/2013,10
44,10/20/2013,6
44,10/20/2014,7
44,10/20/2015,13
44,10/20/2016,10
44,07/09/2014,9
44,07/09/2013,2
44,03/06/2017,5
44,03/06/2016,8
44,11/21/2013,11
44,11/21/2015,4
44,11/21/2014,19
44,11/21/2016,4
44,03/29/2017,7
44,12/15/2015,9
44,12/15/2014,7
44,12/15/2013,1
44,09/22/2013,9
44,09/22/2014,10
44,09/22/2015,12
44,09/22/2016,7
44,05/21/2017,3
44,05/21/2015,9
44,05/21/2016,6
44,05/21/2013,6
44,05/21/2014,14
44,09/24/2016,5
44,09/24/2014,12
44,01/07/2014,5
44,07/02/2017,3
44,09/24/2015,10
44,01/07/2013,12
44,07/02/2016,2
44,01/07/2016,13
44,03/29/2013,7
44,03/29/2014,9
44,01/07/2015,13
44,03/29/2015,10
44,03/29/2016,10
44,01/07/2017,5
44,04/09/2013,9
44,07/02/2015,9
44,04/09/2014,11
44,07/02/2014,9
44,04/09/2015,10
44,09/24/2013,7
44,04/09/2016,7
44,07/02/2013,4
44,04/09/2017,4
44,06/15/2014,6
44,06/15/2013,2
44,06/15/2017,4
44,06/15/2016,10
44,06/15/2015,7
44,10/09/2014,12
